sid,family,instance_type,naive_mae,naive_mase,snaive_mae,snaive_mase,gbm_mae,gbm_mase,gbm_vs_naive_pct
g4dn.xlarge@ap-southeast-2a,gpu,g4dn.xlarge,0.007214940476190476,0.5186726016293514,0.02000011904761905,1.4377823093008502,0.005874100284793341,0.42228136004722344,18.584216956771137
g4dn.xlarge@ap-southeast-2b,gpu,g4dn.xlarge,0.00565845238095238,0.2854538013382635,0.018118125000000002,0.9140109885490173,0.005307198647093609,0.2677339891327627,6.207593706031178
g4dn.xlarge@ap-southeast-2c,gpu,g4dn.xlarge,0.00571529761904762,0.3089372330096588,0.015601130952380955,0.8433104537175559,0.005397956293515027,0.2917835242154012,5.552489943392902
g4dn.xlarge@eu-west-1a,gpu,g4dn.xlarge,0.007041250000000001,0.3959660002068206,0.023410416666666666,1.3164891248961603,0.006152755747010437,0.34600136103578927,12.618416516805443
g4dn.xlarge@eu-west-1b,gpu,g4dn.xlarge,0.004260595238095239,0.2852782126168287,0.01326050595238095,0.8878884815590393,0.0040234635983099525,0.2694005038525746,5.5656927385408945
g4dn.xlarge@us-east-1a,gpu,g4dn.xlarge,0.004245416666666666,0.26994675777756105,0.013444821428571428,0.8548951112472983,0.0039367403489400194,0.25031943313183935,7.270813254921482
g4dn.xlarge@us-east-1b,gpu,g4dn.xlarge,0.0044504464285714295,0.29210326697779554,0.017218214285714288,1.1301105911739593,0.0039961543173739665,0.26228598640317796,10.207787431861949
g4dn.xlarge@us-east-1c,gpu,g4dn.xlarge,0.004596190476190475,0.3104895410832477,0.013783690476190477,0.931138896996521,0.004267733710414728,0.2883010806615798,7.146282719944763
g4dn.xlarge@us-west-2a,gpu,g4dn.xlarge,0.0056107440476190484,0.35809767791134867,0.014976309523809525,0.9558414389680846,0.0051183592687937055,0.3266719268095725,8.775748361472468
g4dn.xlarge@us-west-2b,gpu,g4dn.xlarge,0.003557440476190476,0.241654062925939,0.013350773809523809,0.9069072991859387,0.003377878688410623,0.22945657547571655,5.047499430605762
g4dn.xlarge@us-west-2c,gpu,g4dn.xlarge,0.003725922619047619,0.30287854007080833,0.011007678571428573,0.8948091402218135,0.0035096795601956138,0.28530024103939083,5.803745299124841
m5.2xlarge@ap-southeast-2a,general,m5.2xlarge,0.0032722023809523804,0.38273611099507343,0.009165535714285715,1.0720551744880653,0.002777321894482241,0.3248519673059525,15.123773802954798
m5.2xlarge@ap-southeast-2b,general,m5.2xlarge,0.0027146428571428564,0.31896114408059884,0.010424345238095238,1.2248245011992107,0.0023645495965930966,0.2778263971557726,12.896475852378996
m5.2xlarge@ap-southeast-2c,general,m5.2xlarge,0.0027795535714285717,0.28453523443926515,0.008130029761904762,0.8322487280260792,0.0024530321354057577,0.25111013542221444,11.74726184014493
m5.2xlarge@eu-west-1a,general,m5.2xlarge,0.0019343154761904762,0.2872688871790375,0.006468035714285714,0.9605803421148663,0.0016640281326402654,0.2471279973624679,13.973281343047839
m5.2xlarge@eu-west-1b,general,m5.2xlarge,0.0029174702380952385,0.2956354512024224,0.007075892857142859,0.7170200916418531,0.0024929859416534792,0.2526212655328424,14.549738705094628
m5.2xlarge@us-east-1a,general,m5.2xlarge,0.002583452380952381,0.3329811022752148,0.008442440476190477,1.0881459075388358,0.002226012840011547,0.28691073023477914,13.835731735417733
m5.2xlarge@us-east-1b,general,m5.2xlarge,0.002040476190476191,0.3186341093910186,0.00576485119047619,0.9002203669038927,0.0017764081068401372,0.2773980983850137,12.941493013668925
m5.2xlarge@us-east-1c,general,m5.2xlarge,0.0024498511904761907,0.2916148137987249,0.00889110119047619,1.0583405343988928,0.0021280126514690045,0.2533051866708863,13.1370648249304
m5.2xlarge@us-west-2a,general,m5.2xlarge,0.002276517857142857,0.30394480147406866,0.006238779761904763,0.832958401895631,0.0019647360766618964,0.26231787064452033,13.695556110078677
